scenario,description,min_support,min_confidence,min_lift,num_rules,avg_support,avg_confidence,avg_lift,max_lift,execution_time_seconds,top_antecedents,output_file
Baseline,"Cấu hình gốc - Support thấp, Lift thấp",0.01,0.3,1.2,1794,0.0138,0.5352,13.5702,74.567,72.51,"{'DOTCOM POSTAGE': 39, 'DOTCOM POSTAGE, JUMBO BAG RED RETROSPOT': 20, 'CHARLOTTE BAG PINK POLKADOT': 17, 'WOODLAND CHARLOTTE BAG': 17, 'STRAWBERRY CHARLOTTE BAG': 16}",data/processed/parameter_tuning/rules_Baseline.csv
Medium_Quality,"Tăng Support lên 2%, Lift lên 1.5 - Lọc bỏ sản phẩm ít phổ biến",0.02,0.3,1.5,175,0.0249,0.4987,8.8422,27.2003,12.02,"{'LUNCH BAG RED RETROSPOT': 8, 'LUNCH BAG  BLACK SKULL.': 8, 'JUMBO STORAGE BAG SUKI': 8, 'JUMBO SHOPPER VINTAGE RED PAISLEY': 7, 'LUNCH BAG CARS BLUE': 6}",data/processed/parameter_tuning/rules_Medium_Quality.csv
High_Quality,"Tăng Support lên 2%, Lift lên 2.0 - Chỉ giữ mối quan hệ chặt chẽ",0.02,0.4,2.0,135,0.0253,0.5414,9.5163,27.2003,10.45,"{'JUMBO BAG WOODLAND ANIMALS': 5, 'LUNCH BAG CARS BLUE': 5, 'LUNCH BAG SUKI DESIGN ': 5, 'LUNCH BAG SPACEBOY DESIGN ': 5, 'LUNCH BAG WOODLAND': 5}",data/processed/parameter_tuning/rules_High_Quality.csv
Very_High_Quality,"Support 3%, Lift 2.5 - Rất chặt chẽ, chỉ top combos",0.03,0.5,2.5,15,0.0337,0.6595,11.5732,15.8653,9.03,"{'GREEN REGENCY TEACUP AND SAUCER': 2, 'PINK REGENCY TEACUP AND SAUCER': 2, 'ROSES REGENCY TEACUP AND SAUCER ': 2, 'GARDENERS KNEELING PAD CUP OF TEA ': 1, 'GARDENERS KNEELING PAD KEEP CALM ': 1}",data/processed/parameter_tuning/rules_Very_High_Quality.csv
